@id,@lat,@lon,name
371129575,41.9936657,21.4428736,Narodna banka
416030019,41.9881468,21.4552843,Stopanska Banka
416030021,41.9881141,21.45507,Ohridska Banka
459670407,41.9947783,21.4335756,Uni Banka
459670746,41.9957098,21.4332758,Stopanska Banka
547985718,41.9860412,21.4428016,NLB
552769113,42.0311804,21.4447847,Halkbank
1307183572,42.005028,21.3833142,NLB
1475404508,42.0073792,21.3682515,Stopanska Banka
1475404523,42.0063452,21.3681939,NLB
1475404526,42.0075172,21.3683899,Komercijalna banka
1475404533,42.0069351,21.3650349,Komercijalna banka
1615760049,42.0036469,21.3970663,NLB
1618605216,41.9916695,21.4244409,Zirat Bank
1747986348,41.9876902,21.4327574,Stopanska Banka
1851476148,41.9941727,21.4425119,Centralen Register na RM
1860283429,42.0029983,21.4641508,Stopanska Banka
2276499906,41.9947725,21.4100251,Komercijalna banka
2335276894,42.0064278,21.357664,Sparkasse
2335276905,42.0065755,21.3596919,Sparkasse
2335304828,41.9818419,21.4400132,Sparkasse
2335304834,42.0136832,21.4452794,Sparkasse
2365723919,41.9967666,21.4998637,Komercijalna banka
2882119234,41.980457,21.4723253,Komercijalna banka
2884502160,41.9810724,21.4752946,Stopanska Banka
2884502162,41.982843,21.4724684,Centralna Kooperaticna Banka
2884502163,41.9741156,21.4724627,Komercijalna banka
2884502164,41.9847822,21.4681788,Prokredit Banka
2884502165,41.9862724,21.4637512,TTK Bank
2884502166,41.9867167,21.4629871,Stopanska Banka
2884502167,41.9894468,21.4600367,NLB
2884502183,41.9892067,21.4502163,Komercijalna banka
2886274890,41.9846465,21.4390666,NLB
2887575838,41.9870236,21.4624841,Ohridska Banka
3026549094,42.0028422,21.4011278,Komercijalna banka
3101725381,41.9940162,21.4423152,Stopanska Banka
3341289787,41.9928192,21.4299102,Komercijalna banka
3787600182,41.9809376,21.4405306,Stopanska Banka
4012028345,41.998869,21.4205887,Stopanska Banka
4012028346,41.9987428,21.4214196,Komercijalna banka
4059895435,41.9937486,21.4177179,Sparkasse
4059895436,41.9938028,21.4172424,Ohridska Banka
4144098451,42.0046642,21.3909854,Komercijalna banka
4266034097,41.9846955,21.4387451,Komercijalna banka
4448978289,41.9833896,21.4392671,Uni Banka
4459578970,41.9952945,21.4345705,NLB
4502199191,41.9952676,21.4296796,Prokredit Banka
4573205007,42.0034052,21.3964504,Halkbank
4573205016,42.0033742,21.3966968,Sparkasse
4594432367,41.9955887,21.4336687,Stopanska Banka
4740732822,42.0024666,21.3975443,Sparkasse
4742916122,41.993632,21.4109915,NLB
5054709626,42.0035989,21.5041694,NLB
5131823434,41.9948876,21.4276102,TTK
5333318375,42.0029303,21.4004646,Uni Banka
5333318378,42.0028742,21.4008798,TTK Bank
5731830652,41.9934567,21.4326259,Halkbank
6054036209,41.9963482,21.4276726,NLB
6054037094,41.9937523,21.4275923,Sparkasse
6054048502,42.0067272,21.356997,Stopanska Banka
6054048711,42.0069917,21.3658492,Komercijalna Banka
6054048715,41.9984708,21.4225838,Silkroad Bank
6054048723,41.9993025,21.4184814,Sparkasse
6054049799,42.0080679,21.3687237,Silkroad Bank
6054050096,41.9991977,21.4189624,Halbank
6137491236,41.9876789,21.4327865,Stopanska Banka
6275107313,41.999175,21.4391635,Western Union
6277304326,42.0142495,21.4457121,Halkbank
6279058422,42.0304003,21.4447546,NLB
6279225885,42.0065882,21.3590935,Halkbank
6281492651,42.0022117,21.4401439,Stopanska Banka
6281672845,42.0037315,21.3318349,NLB Banka
6281993277,42.0134893,21.4426424,Ohridska Banka
6287292136,41.9837535,21.4701282,Sparkasse
6812641691,41.9995612,21.4260008,NLB
6814246720,41.9994143,21.4373437,NLB
6814246721,41.9994185,21.4374802,Halk
6815559785,41.9995003,21.4175894,NLB
6815931290,41.9951941,21.4330782,Stopanska Banka
6821158391,41.992781,21.4254378,NLB
6821158785,41.9940018,21.4310477,Komerz
6913357685,42.024698,21.4294687,Hallbank
6968735785,41.9754854,21.4386821,Uni Banka
7133065641,42.006762,21.3575237,Uni Banka
7136180068,41.9838482,21.4699551,Ohridska Banka
7136914207,42.0026806,21.4616919,Silkroad Bank
7876582715,41.9839565,21.4390846,Silkroad Bank
9200216063,41.9903066,21.4317942,Komerz
9200216159,41.9984702,21.4250567,Iute credit
9200216160,41.9978983,21.4293563,Sparkasse
9200216441,41.9903752,21.4316452,Sto
9200216722,41.9899741,21.4352972,Sparkasse
9233459229,42.0064539,21.502468,Stopanska Banka
9249325904,41.9866482,21.46331,NLB
9249326272,41.9866114,21.4633707,Komercijalna banka
9959079921,42.000144,21.459307,Sparkasse
